Group_ID,Group_name,Short_name
1,"Outdoor; Sports, Fitness & Outdoors; Kids' Clothing; Outdoor Recreation; All Sports & Outdoors; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes","Athletic, Recreation, Clothing, Outdoor"
2,"Exercise & Fitness; Outdoor; Sports Collectibles; Sports, Fitness & Outdoors; Outdoor Recreation; Sports; Boating & Water Sports; Entertainment Collectibles; All Sports & Outdoors; Sports & Toys; Athletic & Outdoor Clothing; Team Sports; Health, Fitness & Sports","Exercise, Team, Entertainment"
3,"Sports Collectibles; Sports, Fitness & Outdoors; Sports; Boating & Water Sports; All Sports & Outdoors; Sports & Toys; Team Sports; Health, Fitness & Sports","Water, Boating, Sports"
4,"Health & Personal Care; Exercise & Fitness; Health, Fitness & Sports; Beauty; Sports, Fitness & Outdoors; Health & Beauty; Sports; Boating & Water Sports; Health; All Sports & Outdoors; Sports & Toys; Team Sports; Sports Collectibles","Fitness, Beauty, Health, Sports"
5,"Health & Personal Care; Health & Beauty; Health; Health, Fitness & Sports","Personal, Care, Health"
6,"Kids' Clothing; Baby & Kids; Sports; Sports & Toys; Baby Clothing; Sports Collectibles; Your Games & Software Library; Sports, Fitness & Outdoors; Video Games; Digital Games; Boating & Water Sports; All Sports & Outdoors; Video Games for Kids; Athletic & Outdoor Clothing; Free-to-Play Games; Clothing & Shoes; Health, Fitness & Sports; Games; Outdoor; Toys & Games; Game Time; Outdoor Recreation; Toys; Video Games & Consoles; Team Sports; Clothing","FreetoPlay, Time, Kids, Clothing, Toys"
7,Amazon Instant Video; Your Games & Software Library; Toys & Games; Digital Games; Video Games; Kids' Clothing; Cameras & Camcorders; Camera & Video; Baby & Kids; Game Time; Video Games for Kids; Games; Video Games & Consoles; Free-to-Play Games,"Camera, Kids, Video, Games"
8,Baby Registry; Kids' Clothing; Video Games for Kids; Gift & Registry; Baby & Kids; Baby; Athletic & Outdoor Clothing; Clothing; Baby Clothing; Clothing & Shoes,"Registry, Kids, Clothing, Baby"
9,Your Games & Software Library; Toys & Games; Game Time; Video Games; Digital Games; Kindle Owners' Lending Library; Games; Digital Software; Video Games for Kids; Video Games & Consoles; Free-to-Play Games; Software,"Library, Software, Games"
10,Kindle Owners' Lending Library; Your Games & Software Library,"Owners, Lending, Library"
11,Books & Media; Free Kindle Reading Apps; Kindle Paperwhite; Kindle Paperwhite 3G; Kindle E-reader Accessories; Sell Your Books; Children's Books; Kindle Cloud Reader; Kindle Owners' Lending Library; Manage Your Kindle; Kindle Fire Accessories; Kindle; Music on Kindle Fire; Books; Kindle Books; Your Games & Software Library,"Lending, Manage, Library, Books, Kindle"
12,Free Kindle Reading Apps; Kindle Paperwhite; Kindle Paperwhite 3G; Kindle E-reader Accessories; Kindle Cloud Reader; Kindle Owners' Lending Library; Manage Your Kindle; Kindle Fire Accessories; Kindle; Music on Kindle Fire; Kindle Books; Your Games & Software Library,"Owners, Library, Kindle"
13,"Free Kindle Reading Apps; Apparel, Shoes & Accessories; Kindle Paperwhite 3G; Automotive Parts & Accessories; Kindle; Kindle E-reader Accessories; Accessories; Kindle Cloud Reader; Kindle Owners' Lending Library; Manage Your Kindle; Electronics Accessories; Music on Kindle Fire; Kindle Fire Accessories; Kindle Books; Kindle Paperwhite","Ereader, Accessories, Kindle"
14,"Kindle Paperwhite 3G; Free Kindle Reading Apps; Apparel, Shoes & Accessories; Kindle Paperwhite; Fire HD 8.9""; Fire; Accessories; Kindle E-reader Accessories; Fire HD 8.9"" 4G; Kindle Cloud Reader; Fire HD; Kindle Owners' Lending Library; Manage Your Kindle; Kindle Fire Accessories; Automotive Parts & Accessories; Music on Kindle Fire; Kindle; Kindle Books; Electronics Accessories","Fire, Accessories, Kindle"
15,"Shoes; Automotive Parts & Accessories; Kindle E-reader Accessories; Accessories; Electronics Accessories; Kindle Fire Accessories; Clothing & Shoes; Apparel, Shoes & Accessories","Apparel, Shoes, Accessories"
16,"Free Kindle Reading Apps; Apparel, Shoes & Accessories; Digital Games; Sports; Kindle Fire Accessories; Outdoor Recreation; Sports & Toys; Music on Kindle Fire; Baby Clothing; Health, Fitness & Sports; Your Games & Software Library; Sports, Fitness & Outdoors; Kindle E-reader Accessories; Kids' Clothing; Boating & Water Sports; Kindle Owners' Lending Library; Electronics Accessories; All Sports & Outdoors; Video Games for Kids; Athletic & Outdoor Clothing; Free-to-Play Games; Kindle Books; Clothing & Shoes; Sports Collectibles; Kindle Paperwhite 3G; Games; Kindle; Kindle Paperwhite; Outdoor; Shoes; Automotive Parts & Accessories; Toys & Games; Game Time; Accessories; Kindle Cloud Reader; Manage Your Kindle; Toys; Video Games; Video Games & Consoles; Team Sports; Clothing","Library, Shoes, Clothing, Toys, Outdoor"
17,"Automotive Tools & Equipment; Apparel, Shoes & Accessories; Automotive Parts & Accessories; Kindle E-reader Accessories; Accessories; Kindle Fire Accessories; Electronics Accessories","Parts, Automotive, Accessories"
18,"TV & Home Theater; Car Electronics & GPS; Electronics; Car, Marine & GPS; Electronics Accessories; Trade In Electronics; Vehicle, GPS & Navigation","Car, GPS, Electronics"
19,"Car, Marine & GPS; Car Electronics & GPS; Vehicle, GPS & Navigation","Vehicle, Navigation, GPS"
20,"Car, Marine & GPS; Car Electronics & GPS; Vehicle, GPS & Navigation","Marine, Car, GPS"
21,Trade In Electronics; Worldstock Fair Trade,"Worldstock, Fair, Trade"
22,"Free Kindle Reading Apps; Apparel, Shoes & Accessories; Movies & Music; Kindle Fire Accessories; Music on Kindle Fire; Electronics; As Seen On TV; Kindle E-reader Accessories; Kindle Owners' Lending Library; Electronics Accessories; Kindle Books; TV & Home Theater; Kindle Paperwhite 3G; As Seen on TV; MP3 Music Store; Movies; Musical Instruments; Kindle; Trade In Electronics; Kindle Paperwhite; Automotive Parts & Accessories; Car Electronics & GPS; Accessories; Kindle Cloud Reader; Movies & TV; Manage Your Kindle; Music","Seen, Movies, Instruments, TV"
23,Power & Hand Tools; Automotive Tools & Equipment; Automotive Parts & Accessories,"Equipment, Tools, Automotive"
24,Power & Hand Tools; Automotive Tools & Equipment,"Power, Hand, Tools"
25,Free Kindle Reading Apps; Kindle Paperwhite; Kindle Paperwhite 3G; Kindle E-reader Accessories; Kindle Cloud Reader; Kindle Owners' Lending Library; Manage Your Kindle; Kindle Fire Accessories; Kindle; Music on Kindle Fire; Kindle Books,"3G, Paperwhite, Kindle"
