Group_ID,Group_name,Short_name
1,Outdoor Lighting; Outdoor Power Equipment; Outdoor Party; Patio & Garden; Nursery Decor; Outdoor Cooking; Sports & Outdoors; Party Supplies; Bouncers & Outdoor Play; Garden & Patio; Grills & Outdoor Cooking; Outdoor Heating; Awnings & Outdoor Shading; Furniture & Decor; Outdoors; Patio & Outdoor Decor; Patio; Outdoor Games & Play; Outdoor D�cor; Outdoor Play; Patio Furniture; Nursery Furniture; Home Decor; Outdoor Recreation; Outdoors & Recreation; Nursery; Outdoor Living; Sports & Outdoor Recreation,"Party, Nursery, Decor, Patio, Outdoor"
2,Home & Garden; Patio & Garden; Patio & Outdoor Decor; Home Improvement; Home Office Furniture; Home Energy Technology; Home Health Care; Garden & Patio; Paint & Home Décor; Furniture & Decor; Home Security & Monitoring; Accent Furniture; Lawn and Garden; Patio; Home Entertainment; Home Audio & Theater; Home Accents; Home Audio; Home Office Equipment; Home Decor; Nursery Decor; Gardening & Lawn Care; Home Health & Mobility; Home; Patio Furniture; Lawn & Garden,"Entertainment, Accent, Improvement"
3,Vacuum Cleaners & Floor Care; Skin Care; Garden & Patio; Baby Bath & Skin Care; Bath & Skin Care; Car Care & Maintenance; Patio & Garden; Gardening & Lawn Care; Hair Care; Home & Garden; Personal Care & Beauty; Personal Care; Lawn and Garden; Home Health Care; Oral Care; Lawn & Garden; Lawn Games,"Oral, Hair, Lawn, Garden, Care"
4,Personal Care; Home & Garden; Car Care & Maintenance; Patio & Garden; Bath & Skin Care; Hair Care; Home Improvement; Oral Care; Home Office Furniture; Personal Care & Beauty; Home Energy Technology; Home Health Care; Vacuum Cleaners & Floor Care; Skin Care; Garden & Patio; Baby Bath & Skin Care; Paint & Home Décor; Home Security & Monitoring; Lawn and Garden; Home Entertainment; Home Audio & Theater; Home Accents; Home Audio; Home Office Equipment; Home Decor; Gardening & Lawn Care; Home Health & Mobility; Home; Lawn & Garden,"Garden, Care, Home"
5,"Vacuum Cleaners & Floor Care; Skin Care; Baby Bath & Skin Care; Bath & Skin Care; Car Care & Maintenance; Personal Care; Vacuums, Storage & Laundry; Personal Care & Beauty; Hair Care; Gardening & Lawn Care; Home Health Care; Oral Care","Cleaners, Vacuum, Care"
6,"Vacuum Cleaners & Floor Care; Flooring; Skin Care; Baby Bath & Skin Care; Bath & Skin Care; Car Care & Maintenance; Gardening & Lawn Care; Hair Care; Vacuums, Storage & Laundry; Personal Care & Beauty; Personal Care; Home Health Care; Oral Care","Vacuum, Floor, Care"
7,"Storage & Organization; Kitchen Storage & Organization; Vacuum Cleaners & Floor Care; Filing & Storage; Memory, Storage & Drives; Bathroom & Laundry Storage; Sheds and Storage; Audio Stands & Storage; Vacuums, Storage & Laundry; Jewelry Storage; Garage Storage; Wine Cellars & Storage; TV Stands, Mounts & Storage","Garage, Sheds, Filing, Laundry, Vacuum"
8,"Storage & Organization; Kitchen Storage & Organization; Bar & Wine; Filing & Storage; Memory, Storage & Drives; Bathroom & Laundry Storage; Sheds and Storage; Audio Stands & Storage; Vacuums, Storage & Laundry; Jewelry Storage; Garage Storage; Wine Cellars & Storage; TV Stands, Mounts & Storage","Cellars, Wine, Storage"
9,Sound Bars; Living Room; Living Room Furniture; Outdoor Living; Live Sound & Microphones,"Microphones, Sound, Live"
10,"Outdoor Lighting; Living Room; Outdoor Power Equipment; Outdoor Party; Live Sound & Microphones; Home & Garden; Patio & Garden; Living Room Furniture; Personal Care; Outdoor Cooking; Storage & Organization; Oral Care; Filing & Storage; Bar Furniture; Memory, Storage & Drives; Bathroom & Laundry Storage; Garage Storage; Sheds and Storage; Audio Stands & Storage; Personal Care & Beauty; Home Health Care; TV Stands, Mounts & Storage; Sports & Outdoors; Kitchen Storage & Organization; Bar & Wine; Bath & Skin Care; Bouncers & Outdoor Play; Vacuum Cleaners & Floor Care; Skin Care; Garden & Patio; Grills & Outdoor Cooking; Baby Bath & Skin Care; Outdoor Heating; Jewelry Storage; Awnings & Outdoor Shading; Outdoors; Patio & Outdoor Decor; Wine Cellars & Storage; Lawn and Garden; Outdoor Games & Play; Outdoor D�cor; Outdoor Play; Patio Furniture; Car Care & Maintenance; Outdoor Recreation; Gardening & Lawn Care; Hair Care; Outdoors & Recreation; Vacuums, Storage & Laundry; Lawn & Garden; Patio; Sound Bars; Outdoor Living; Sports & Outdoor Recreation","Sound, Wine, Vacuum, Bars, Live, Garden"
